Siemens/DI	Parametres	V/Zone	V/Adresse	V/libelle	V/parentlibelle	V/modbusadresse
DI_ZD0199_0001	/Siemens/DI/archives_Recu_27_05_2019/199	199	1	 SILO 2	 SILO 2	 317
DI_ZD0198_0001	/Siemens/DI/archives_Recu_27_05_2019/198	198	1	 SILO 1	 SILO 1	 316
DI_ZD0197_0001	/Siemens/DI/archives_Recu_27_05_2019/197	197	1	 SILO 4	 SILO 4	 315
DI_ZD0196_0001	/Siemens/DI/archives_Recu_27_05_2019/196	196	1	 SILO 3	 SILO 3	 314
DI_ZD0195_0001	/Siemens/DI/archives_Recu_27_05_2019/195	195	1	 SILO 2	 SILO 2	 313
DI_ZD0150_0001	/Siemens/DI/archives_Recu_27_05_2019/150	150	1	 SILO 1	 SILO 1	 304
DI_ZD0149_0001	/Siemens/DI/archives_Recu_27_05_2019/149	149	1	 SILO 4	 SILO 4	 303
DI_ZD0148_0001	/Siemens/DI/archives_Recu_27_05_2019/148	148	1	 SILO 3	 SILO 3	 302
DI_ZD0147_0001	/Siemens/DI/archives_Recu_27_05_2019/147	147	1	 SILO 2	 SILO 2	 301
DI_ZD0146_0001	/Siemens/DI/archives_Recu_27_05_2019/146	146	1	 SILO 1	 SILO 1	 300
DI_ZD0021_0001	/Siemens/DI/archives_Recu_27_05_2019/21	21	1	 SAS CIRCU.  VERS ASCENSEUR	 ZDA SAS CIRCU. VERS ASCENSEUR	 257
DI_ZD0020_0001	/Siemens/DI/archives_Recu_27_05_2019/20	20	1	 LOCAL PRE-COMM	 ZDA LOCAL PRE-COMM	 235
DI_ZD0022_0003	/Siemens/DI/archives_Recu_27_05_2019/22	22	3	 CIRCULATION EST	 ZDA CIRCULATION NORD	 216
DI_ZD0022_0002	/Siemens/DI/archives_Recu_27_05_2019/22	22	2	 CIRCULATION FACE ASCENSEURS 	 ZDA CIRCULATION NORD	 215
DI_ZD0328_0001	/Siemens/DI/archives_Recu_27_05_2019/328	328	1	 Dét. IN_328/1	 AES NIV8	 212
DI_ZD0327_0001	/Siemens/DI/archives_Recu_27_05_2019/327	327	1	 Dét. IN_327/1	 AES NIV7	 211
DI_ZD0326_0001	/Siemens/DI/archives_Recu_27_05_2019/326	326	1	 Dét. IN_326/1	 AES NIV6	 210
DI_ZD0325_0001	/Siemens/DI/archives_Recu_27_05_2019/325	325	1	 Dét. IN_325/1	 AES NIV5	 209
DI_ZD0254_0001	/Siemens/DI/archives_Recu_27_05_2019/254	254	1	 SILO 4 BDA11 34 2 ZONE 2	 SILO 4 BDA11 34 2 ZONE 2	 101
DI_ZD0253_0001	/Siemens/DI/archives_Recu_27_05_2019/253	253	1	 SILO 4 BDA11 34 1 ZONE 1	 SILO 4 BDA11 34 1 ZONE 1	 100
DI_ZD0252_0001	/Siemens/DI/archives_Recu_27_05_2019/252	252	1	 SILO 4 AD1 34	 SILO 4 AD1 34	 99
DI_ZD0255_0001	/Siemens/DI/archives_Recu_27_05_2019/255	255	1	 SILO 1 AD1 31	 SILO 1 AD1 31	 90
DI_ZD0205_0001	/Siemens/DI/archives_Recu_27_05_2019/205	205	1	 SILO 4 	 SILO 4 	 323
DI_ZD0204_0001	/Siemens/DI/archives_Recu_27_05_2019/204	204	1	 SILO 3	 SILO 3	 322
DI_ZD0203_0001	/Siemens/DI/archives_Recu_27_05_2019/203	203	1	 SILO 2	 SILO 2	 321
DI_ZD0202_0001	/Siemens/DI/archives_Recu_27_05_2019/202	202	1	 SILO 1	 SILO 1	 320
DI_ZD0201_0001	/Siemens/DI/archives_Recu_27_05_2019/201	201	1	 SILO 4	 SILO 4	 319
DI_ZD0200_0001	/Siemens/DI/archives_Recu_27_05_2019/200	200	1	 SILO 3	 SILO 3	 318
DI_ZD0154_0001	/Siemens/DI/archives_Recu_27_05_2019/154	154	1	 SILO 4 	 SILO 4 	 311
DI_ZD0155_0001	/Siemens/DI/archives_Recu_27_05_2019/155	155	1	 SILO 3	 SILO 3	 310
DI_ZD0156_0001	/Siemens/DI/archives_Recu_27_05_2019/156	156	1	 SILO 2	 SILO 2	 309
DI_ZD0153_0001	/Siemens/DI/archives_Recu_27_05_2019/153	153	1	 SILO 4	 SILO 4	 307
DI_ZD0152_0001	/Siemens/DI/archives_Recu_27_05_2019/152	152	1	 SILO 3	 SILO 3	 306
DI_ZD0151_0001	/Siemens/DI/archives_Recu_27_05_2019/151	151	1	 SILO 2	 SILO 2	 305
DI_ZD0024_0006	/Siemens/DI/archives_Recu_27_05_2019/24	24	6	 PERSONNEL ENTRETIEN	 ZDA BUREAU NORD EST	 263
DI_ZD0024_0005	/Siemens/DI/archives_Recu_27_05_2019/24	24	5	 BUREAU 20	 ZDA BUREAU NORD EST	 262
DI_ZD0024_0004	/Siemens/DI/archives_Recu_27_05_2019/24	24	4	 BUREAU 19	 ZDA BUREAU NORD EST	 261
DI_ZD0024_0003	/Siemens/DI/archives_Recu_27_05_2019/24	24	3	 BUREAU 18	 ZDA BUREAU NORD EST	 260
DI_ZD0024_0002	/Siemens/DI/archives_Recu_27_05_2019/24	24	2	 BUREAU 17	 ZDA BUREAU NORD EST	 259
DI_ZD0022_0004	/Siemens/DI/archives_Recu_27_05_2019/22	22	4	 CIRCULATION COTE VESTIAIRES	 ZDA CIRCULATION NORD	 217
DI_ZD0259_0001	/Siemens/DI/archives_Recu_27_05_2019/259	259	1	 SILO 4 BDA11 44 1 ZONE 1	 SILO 4 BDA11 44 1 ZONE 1	 119
DI_ZD0258_0001	/Siemens/DI/archives_Recu_27_05_2019/258	258	1	 SILO 3 AD1 43	 SILO 3 AD1 43	 115
DI_ZD0257_0001	/Siemens/DI/archives_Recu_27_05_2019/257	257	1	 SILO 1 BDA 11 31 2 ZONE 2	 SILO 1 BDA 11 31 2 ZONE 2	 92
DI_ZD0256_0001	/Siemens/DI/archives_Recu_27_05_2019/256	256	1	 SILO 1 BDA11 31 1 ZONE 1	 SILO 1 BDA11 31 1 ZONE 1	 91
DI_ZD0206_0001	/Siemens/DI/archives_Recu_27_05_2019/206	206	1	 SILO 4	 SILO 4	 327
DI_ZD0207_0001	/Siemens/DI/archives_Recu_27_05_2019/207	207	1	 SILO 3	 SILO 3	 326
DI_ZD0208_0001	/Siemens/DI/archives_Recu_27_05_2019/208	208	1	 SILO 2	 SILO 2	 325
DI_ZD0209_0001	/Siemens/DI/archives_Recu_27_05_2019/209	209	1	 SILO 1	 SILO 1	 324
DI_ZD0157_0001	/Siemens/DI/archives_Recu_27_05_2019/157	157	1	 SILO 1	 SILO 1	 308
DI_ZD0033_0003	/Siemens/DI/archives_Recu_27_05_2019/33	33	3	 DEPOT	 ZDA LOCAUX NORD EST	 266
DI_ZD0024_0001	/Siemens/DI/archives_Recu_27_05_2019/24	24	1	 CH BLINDEE	 ZDA BUREAU NORD EST	 258
DI_ZD0032_0002	/Siemens/DI/archives_Recu_27_05_2019/32	32	2	 LOCAL TECHNIQUE	 ZDA LOCAUX NORD OUEST	 223
DI_ZD0022_0005	/Siemens/DI/archives_Recu_27_05_2019/22	22	5	 CIRCULATION VERS QUAI	 ZDA CIRCULATION NORD	 218
DI_ZD0260_0001	/Siemens/DI/archives_Recu_27_05_2019/260	260	1	 SILO 4 BDA11 44 2 ZONE 2	 SILO 4 BDA11 44 2 ZONE 2	 120
DI_ZD0263_0001	/Siemens/DI/archives_Recu_27_05_2019/263	263	1	 SILO 2 BDA11 42 2 ZONE 2	 SILO 2 BDA11 42 2 ZONE 2	 114
DI_ZD0262_0001	/Siemens/DI/archives_Recu_27_05_2019/262	262	1	 SILO 2 BDA11 42 1 ZONE 1	 SILO 2 BDA11 42 1 ZONE 1	 113
DI_ZD0261_0001	/Siemens/DI/archives_Recu_27_05_2019/261	261	1	 SILO 2 AD1 42	 SILO 2 AD1 42	 112
DI_ZD0033_0009	/Siemens/DI/archives_Recu_27_05_2019/33	33	9	 CIRCULATION 	 ZDA LOCAUX NORD EST	 272
DI_ZD0033_0008	/Siemens/DI/archives_Recu_27_05_2019/33	33	8	 BUREAU 24	 ZDA LOCAUX NORD EST	 271
DI_ZD0033_0007	/Siemens/DI/archives_Recu_27_05_2019/33	33	7	 BUREAU 23	 ZDA LOCAUX NORD EST	 270
DI_ZD0033_0006	/Siemens/DI/archives_Recu_27_05_2019/33	33	6	 BUREAU 22	 ZDA LOCAUX NORD EST	 269
DI_ZD0033_0005	/Siemens/DI/archives_Recu_27_05_2019/33	33	5	 BUREAU 21	 ZDA LOCAUX NORD EST	 268
DI_ZD0033_0004	/Siemens/DI/archives_Recu_27_05_2019/33	33	4	 LOCAL DOCUMENTATION	 ZDA LOCAUX NORD EST	 267
DI_ZD0264_0001	/Siemens/DI/archives_Recu_27_05_2019/264	264	1	 SILO 4 AD1 44	 SILO 4 AD1 44	 118
DI_ZD0266_0001	/Siemens/DI/archives_Recu_27_05_2019/266	266	1	 SILO 3 BDA11 43 2 ZONE 2	 SILO 3 BDA11 43 2 ZONE 2	 117
DI_ZD0265_0001	/Siemens/DI/archives_Recu_27_05_2019/265	265	1	 SILO 3 BDA11 43 1 ZONE 1	 SILO 3 BDA11 43 1 ZONE 1	 116
DI_ZD0267_0001	/Siemens/DI/archives_Recu_27_05_2019/267	267	1	 SILO 1 AD1 41	 SILO 1 AD1 41	 109
DI_ZD0033_0011	/Siemens/DI/archives_Recu_27_05_2019/33	33	11	 FOURNITURE MATERIEL	 ZDA LOCAUX NORD EST	 274
