DEF/DI	Parameters	V/Module	V/Ligne	V/Adresse	V/Zone	V/Libelle	V/IndexJbus	V/IndesJbusZone
DI_Zone_0001_0001	/DEF/DI/Closseur25614261851258/90	1	1	1	90	DI FERION R-1 GAL TECH LOCAL STE CHAUF.	1	1
DI_Zone_0001_0002	/DEF/DI/Closseur25614261851258/90	1	1	2	90	DI FERION R-1 GAL TECH LOCAL STE CHAUF.	2	1
DI_Zone_0001_0003	/DEF/DI/Closseur25614261851258/90	1	1	3	90	DI FERION R-1 GAL TECH LOCAL STE CHAUF.	3	1
DI_Zone_0001_0004	/DEF/DI/Closseur25614261851258/90	1	1	4	90	DI FERION R-1 GAL TECH LOCAL STE CHAUF.	4	1
DI_Zone_0001_0005	/DEF/DI/Closseur25614261851258/90	1	1	5	90	DI AUTHION R-1 GALERIE TECHNIQUE	5	1
DI_Zone_0001_0006	/DEF/DI/Closseur25614261851258/90	1	1	6	90	DI AUTHION R-1 GALERIE TECHNIQUE	6	1
DI_Zone_0001_0007	/DEF/DI/Closseur25614261851258/90	1	1	7	90	DI AUTHION R-1 GALERIE TECHNIQUE	7	1
DI_Zone_0001_0008	/DEF/DI/Closseur25614261851258/90	1	1	8	90	DI AUTHION R-1 GALERIE TECHNIQUE	8	1
DI_Zone_0001_0009	/DEF/DI/Closseur25614261851258/90	1	1	9	90	DI AUTHION R-1 GALERIE TECHNIQUE	9	1
DI_Zone_0001_0010	/DEF/DI/Closseur25614261851258/94	1	1	10	94	DM PELA R-1 GALERIE TECHNIQUE	10	2
DI_Zone_0001_0011	/DEF/DI/Closseur25614261851258/93	1	1	11	93	DI PELA R-1 LOCAL E.V.M	11	3
DI_Zone_0001_0012	/DEF/DI/Closseur25614261851258/93	1	1	12	93	DI PELA R-1 NOYAU CENTRAL DEPOT	12	3
DI_Zone_0001_0013	/DEF/DI/Closseur25614261851258/8	1	1	13	8	DI PELA RDC CIRCULATION EST	13	4
DI_Zone_0001_0014	/DEF/DI/Closseur25614261851258/8	1	1	14	8	DI PELA RDC CIRCULATION EST	14	4
DI_Zone_0001_0015	/DEF/DI/Closseur25614261851258/10	1	1	15	10	DI PELA RDC DEPOT 1 (CIRCULATION EST)	15	5
DI_Zone_0001_0016	/DEF/DI/Closseur25614261851258/8	1	1	16	8	DI PELA RDC CIRCULATION NORD	16	4
DI_Zone_0001_0017	/DEF/DI/Closseur25614261851258/12	1	1	17	12	DM PELA RDC CIRCULATION NORD	17	6
DI_Zone_0001_0018	/DEF/DI/Closseur25614261851258/8	1	1	18	8	DI PELA RDC CIRCULATION NORD	18	4
DI_Zone_0001_0019	/DEF/DI/Closseur25614261851258/8	1	1	19	8	DI PELA RDC CIRCULATION NORD	19	4
DI_Zone_0001_0020	/DEF/DI/Closseur25614261851258/8	1	1	20	8	DI PELA RDC CIRCUL NORD (ACCES COURRIER)	20	4
DI_Zone_0001_0021	/DEF/DI/Closseur25614261851258/8	1	1	21	8	DI PELA RDC CIRCUL NORD (ACCES COURRIER)	21	4
DI_Zone_0001_0022	/DEF/DI/Closseur25614261851258/10	1	1	22	10	DI PELA RDC ARCHIVES FACE BUREAU 9	22	5
DI_Zone_0001_0023	/DEF/DI/Closseur25614261851258/10	1	1	23	10	DI PELA RDC ACCES SANITAIRE (CIRC. NORD)	23	5
DI_Zone_0001_0024	/DEF/DI/Closseur25614261851258/8	1	1	24	8	DI PELA RDC CIRCULATION NORD	24	4
DI_Zone_0001_0025	/DEF/DI/Closseur25614261851258/10	1	1	25	10	DI PELA RDC DEPOT 2 (CIRCULATION NORD)	25	5
DI_Zone_0001_0026	/DEF/DI/Closseur25614261851258/10	1	1	26	10	DI PELA RDC DEPOT 3 (CIRCULATION NORD)	26	5
DI_Zone_0001_0027	/DEF/DI/Closseur25614261851258/8	1	1	27	8	DI PELA RDC CIRCULATION OUEST	27	4
DI_Zone_0001_0028	/DEF/DI/Closseur25614261851258/12	1	1	28	12	DM PELA RDC CIRCULATION OUEST	28	6
DI_Zone_0001_0029	/DEF/DI/Closseur25614261851258/10	1	1	29	10	DI PELA RDC DEPOT 4 (CIRCULATION OUEST)	29	5
DI_Zone_0001_0030	/DEF/DI/Closseur25614261851258/10	1	1	30	10	DI PELA RDC ARCHIVES (VISITE MEDICALE)	30	5
DI_Zone_0001_0031	/DEF/DI/Closseur25614261851258/9	1	1	31	9	DI PELA RDC VISITE MEDICALE	31	11
DI_Zone_0001_0032	/DEF/DI/Closseur25614261851258/9	1	1	32	9	DI PELA RDC VISITE MEDICALE	32	11
DI_Zone_0001_0033	/DEF/DI/Closseur25614261851258/9	1	1	33	9	DI PELA RDC VISITE MEDICALE	33	11
DI_Zone_0001_0034	/DEF/DI/Closseur25614261851258/9	1	1	34	9	DI PELA RDC VISITE MEDICALE	34	11
DI_Zone_0001_0035	/DEF/DI/Closseur25614261851258/9	1	1	35	9	DI PELA RDC VISITE MEDICALE	35	11
DI_Zone_0001_0036	/DEF/DI/Closseur25614261851258/8	1	1	36	8	DI PELA RDC CIRCULATION OUEST	36	4
DI_Zone_0001_0037	/DEF/DI/Closseur25614261851258/8	1	1	37	8	DI PELA RDC CIRCULATION OUEST	37	4
DI_Zone_0001_0038	/DEF/DI/Closseur25614261851258/50	1	1	38	50	DI AUTHION RDC CIRCULATION OUEST	38	12
DI_Zone_0001_0039	/DEF/DI/Closseur25614261851258/50	1	1	39	50	DI AUTHION RDC CIRCULATION OUEST	39	12
DI_Zone_0001_0040	/DEF/DI/Closseur25614261851258/44	1	1	40	44	DI AUTHION RDC HALL SALLE ATTENTE NORD	40	14
