Siemens/DAS	Parametres	V/Nom	V/ParentDescription	V/description	V/modbusadresse
DAS_01_001_001_002_530030_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530030_001	 CCF Thermo-Fusible 4 Niveau-1	 CCF Thermo-Fusible 4 Niveau-1	86
DAS_01_001_001_002_530020_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530020_001	 CCF Thermo-Fusible 3 Niveau-1	 CCF Thermo-Fusible 3 Niveau-1	85
DAS_01_001_001_002_530010_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530010_001	 CCF Thermo-Fusible 1 Niveau-1	 CCF Thermo-Fusible 1 Niveau-1	84
DAS_01_001_001_002_530240_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530240_001	 CCF Thermo-Fusible 27 Niveau-1	 CCF Thermo-Fusible 27 Niveau-1	107
DAS_01_001_001_002_530180_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530180_001	 CCF Thermo-Fusible 19 Niveau-1	 CCF Thermo-Fusible 19 Niveau-1	101
DAS_01_001_001_002_530170_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530170_001	 CCF Thermo-Fusible 18 Niveau-1	 CCF Thermo-Fusible 18 Niveau-1	100
DAS_01_001_001_002_530160_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530160_001	 CCF Thermo-Fusible 17 Niveau-1	 CCF Thermo-Fusible 17 Niveau-1	99
DAS_01_001_001_002_530150_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530150_001	 CCF Thermo-Fusible 16 Niveau-1	 CCF Thermo-Fusible 16 Niveau-1	98
DAS_01_001_001_002_530140_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530140_001	 CCF Thermo-Fusible 15 Niveau-1	 CCF Thermo-Fusible 15 Niveau-1	97
DAS_01_001_001_002_530130_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530130_001	 CCF Thermo-Fusible 14 Niveau-1	 CCF Thermo-Fusible 14 Niveau-1	96
DAS_01_001_001_002_530120_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530120_001	 CCF Thermo-Fusible 13 Niveau-1	 CCF Thermo-Fusible 13 Niveau-1	95
DAS_01_001_001_002_530110_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530110_001	 CCF Thermo-Fusible 12 Niveau-1	 CCF Thermo-Fusible 12 Niveau-1	94
DAS_01_001_001_002_530100_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530100_001	 CCF Thermo-Fusible 11 Niveau-1	 CCF Thermo-Fusible 11 Niveau-1	93
DAS_01_001_001_002_530090_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530090_001	 CCF Thermo-Fusible 10 Niveau-1	 CCF Thermo-Fusible 10 Niveau-1	92
DAS_01_001_001_002_530080_001	/Siemens/DAS/Cadam_Esterel_Recu_27_05_2019	01_001_001_002_530080_001	 CCF Thermo-Fusible 9 Niveau-1	 CCF Thermo-Fusible 9 Niveau-1	91
