DEF/DI	Parameters	V/Module	V/Ligne	V/Adresse	V/Zone	V/Libelle	V/IndexJbus	V/IndesJbusZone
DI_0001_0001_0001	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_90	1	1	1	90	DI_FERION_R_1_GAL_TECH_LOCAL_STE_CHAUF_	1	1
DI_0001_0001_0002	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_90	1	1	2	90	DI_FERION_R_1_GAL_TECH_LOCAL_STE_CHAUF_	2	1
DI_0001_0001_0003	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_90	1	1	3	90	DI_FERION_R_1_GAL_TECH_LOCAL_STE_CHAUF_	3	1
DI_0001_0001_0004	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_90	1	1	4	90	DI_FERION_R_1_GAL_TECH_LOCAL_STE_CHAUF_	4	1
DI_0001_0001_0005	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_90	1	1	5	90	DI_AUTHION_R_1_GALERIE_TECHNIQUE	5	1
DI_0001_0001_0006	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_90	1	1	6	90	DI_AUTHION_R_1_GALERIE_TECHNIQUE	6	1
DI_0001_0001_0007	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_90	1	1	7	90	DI_AUTHION_R_1_GALERIE_TECHNIQUE	7	1
DI_0001_0001_0008	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_90	1	1	8	90	DI_AUTHION_R_1_GALERIE_TECHNIQUE	8	1
DI_0001_0001_0009	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_90	1	1	9	90	DI_AUTHION_R_1_GALERIE_TECHNIQUE	9	1
DI_0001_0001_0010	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_94	1	1	10	94	DM_PELA_R_1_GALERIE_TECHNIQUE	10	2
DI_0001_0001_0011	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	11	93	DI_PELA_R_1_LOCAL_E_V_M	11	3
DI_0001_0001_0012	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	12	93	DI_PELA_R_1_NOYAU_CENTRAL_DEPOT	12	3
DI_0001_0001_0013	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_8	1	1	13	8	DI_PELA_RDC_CIRCULATION_EST	13	4
DI_0001_0001_0014	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_8	1	1	14	8	DI_PELA_RDC_CIRCULATION_EST	14	4
DI_0001_0001_0015	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_10	1	1	15	10	DI_PELA_RDC_DEPOT_1__CIRCULATION_EST_	15	5
DI_0001_0001_0016	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_8	1	1	16	8	DI_PELA_RDC_CIRCULATION_NORD	16	4
DI_0001_0001_0017	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_12	1	1	17	12	DM_PELA_RDC_CIRCULATION_NORD	17	6
DI_0001_0001_0018	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_8	1	1	18	8	DI_PELA_RDC_CIRCULATION_NORD	18	4
DI_0001_0001_0019	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_8	1	1	19	8	DI_PELA_RDC_CIRCULATION_NORD	19	4
DI_0001_0001_0020	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_8	1	1	20	8	DI_PELA_RDC_CIRCUL_NORD__ACCES_COURRIER_	20	4
DI_0001_0001_0021	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_8	1	1	21	8	DI_PELA_RDC_CIRCUL_NORD__ACCES_COURRIER_	21	4
DI_0001_0001_0022	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_10	1	1	22	10	DI_PELA_RDC_ARCHIVES_FACE_BUREAU_9	22	5
DI_0001_0001_0023	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_10	1	1	23	10	DI_PELA_RDC_ACCES_SANITAIRE__CIRC__NORD_	23	5
DI_0001_0001_0024	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_8	1	1	24	8	DI_PELA_RDC_CIRCULATION_NORD	24	4
DI_0001_0001_0025	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_10	1	1	25	10	DI_PELA_RDC_DEPOT_2__CIRCULATION_NORD_	25	5
DI_0001_0001_0026	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_10	1	1	26	10	DI_PELA_RDC_DEPOT_3__CIRCULATION_NORD_	26	5
DI_0001_0001_0027	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_8	1	1	27	8	DI_PELA_RDC_CIRCULATION_OUEST	27	4
DI_0001_0001_0028	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_12	1	1	28	12	DM_PELA_RDC_CIRCULATION_OUEST	28	6
DI_0001_0001_0029	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_10	1	1	29	10	DI_PELA_RDC_DEPOT_4__CIRCULATION_OUEST_	29	5
DI_0001_0001_0030	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_10	1	1	30	10	DI_PELA_RDC_ARCHIVES__VISITE_MEDICALE_	30	5
DI_0001_0001_0031	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_9	1	1	31	9	DI_PELA_RDC_VISITE_MEDICALE	31	11
DI_0001_0001_0032	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_9	1	1	32	9	DI_PELA_RDC_VISITE_MEDICALE	32	11
DI_0001_0001_0033	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_9	1	1	33	9	DI_PELA_RDC_VISITE_MEDICALE	33	11
DI_0001_0001_0034	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_9	1	1	34	9	DI_PELA_RDC_VISITE_MEDICALE	34	11
DI_0001_0001_0035	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_9	1	1	35	9	DI_PELA_RDC_VISITE_MEDICALE	35	11
DI_0001_0001_0036	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_8	1	1	36	8	DI_PELA_RDC_CIRCULATION_OUEST	36	4
DI_0001_0001_0037	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_8	1	1	37	8	DI_PELA_RDC_CIRCULATION_OUEST	37	4
DI_0001_0001_0038	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_50	1	1	38	50	DI_AUTHION_RDC_CIRCULATION_OUEST	38	12
DI_0001_0001_0039	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_50	1	1	39	50	DI_AUTHION_RDC_CIRCULATION_OUEST	39	12
DI_0001_0001_0040	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	40	44	DI_AUTHION_RDC_HALL_SALLE_ATTENTE_NORD	40	14
DI_0001_0001_0041	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_48	1	1	41	48	DI_AUTHION_RDC_LOC_TECH_NORD_OUEST	41	15
DI_0001_0001_0042	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_45	1	1	42	45	DI_AUTHION_RDC_TOILETTES_NORD_OUEST_	42	16
DI_0001_0001_0043	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_50	1	1	43	50	DI_AUTHION_RDC_ARCHIVE_LOCAL_ETUDIANT_	43	12
DI_0001_0001_0044	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	44	44	DI_AUTHION_RDC_CIRCULATION_VERS_MT_DES_M	44	14
DI_0001_0001_0045	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_48	1	1	45	48	DI_AUTHION_RDC_HALL_LOCAL_SUD	45	15
DI_0001_0001_0046	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_48	1	1	46	48	DI_AUTHION_RDC_HALL_LOCAL_SUD	46	15
DI_0001_0001_0047	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	47	44	DI_AUTHION_RDC_CIRCULATION_VERS_FERION	47	14
DI_0001_0001_0048	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_48	1	1	48	48	DI_AUTHION_RDC_LOCAL_MENAGE	48	15
DI_0001_0001_0049	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_48	1	1	49	48	DI_AUTHION_RDC_LOCAL_SUD_EST_SIAT	49	15
DI_0001_0001_0050	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_48	1	1	50	48	DI_AUTHION_RDC_LOCAL_SUD_EST_SIAT	50	15
DI_0001_0001_0051	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	51	44	DI_AUTHION_RDC_HALL_ACCUEIL_	51	14
DI_0001_0001_0052	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	52	44	DI_AUTHION_RDC_HALL_ACCUEIL_	52	14
DI_0001_0001_0053	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	53	44	DI_AUTHION_RDC_HALL_ACCUEIL_	53	14
DI_0001_0001_0054	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_51	1	1	54	51	DM_AUTHION_RDC_HALL_ACCUEIL_	54	18
DI_0001_0001_0055	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	55	44	DI_AUTHION_RDC_HALL_ACCUEIL_	55	14
DI_0001_0001_0056	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	56	44	DI_AUTHION_RDC_HALL_ACCUEIL_	56	14
DI_0001_0001_0057	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	57	44	DI_AUTHION_RDC_HALL_ACCUEIL_	57	14
DI_0001_0001_0058	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	58	44	DI_AUTHION_RDC_HALL_ACCUEIL_	58	14
DI_0001_0001_0059	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_51	1	1	59	51	DM_AUTHION_RDC_HALL_ACCUEIL_	59	18
DI_0001_0001_0060	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	60	44	DI_AUTHION_RDC_HALL_ACCUEIL_	60	14
DI_0001_0001_0061	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	61	44	DI_AUTHION_RDC_HALL_ACCUEIL_	61	14
DI_0001_0001_0062	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	62	44	DI_AUTHION_RDC_HALL_ACCUEIL_	62	14
DI_0001_0001_0063	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	63	44	DI_AUTHION_RDC_HALL_ACCUEIL_	63	14
DI_0001_0001_0064	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	64	44	DI_AUTHION_RDC_HALL_ACCUEIL_	64	14
DI_0001_0001_0065	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	65	44	DI_AUTHION_RDC_HALL_ACCUEIL_	65	14
DI_0001_0001_0066	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	66	44	DI_AUTHION_RDC_HALL_ACCUEIL_	66	14
DI_0001_0001_0067	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	67	44	DI_AUTHION_RDC_HALL_ACCUEIL_	67	14
DI_0001_0001_0068	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	68	44	DI_AUTHION_RDC_HALL_ACCUEIL_	68	14
DI_0001_0001_0069	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	69	44	DI_AUTHION_RDC_HALL_ACCUEIL_	69	14
DI_0001_0001_0070	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	70	44	DI_AUTHION_RDC_HALL_ACCUEIL_	70	14
DI_0001_0001_0071	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_48	1	1	71	48	DI_AUTHION_RDC_POSTE_DE_POLICE	71	15
DI_0001_0001_0072	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_48	1	1	72	48	DI_AUTHION_RDC_TGBT	72	15
DI_0001_0001_0073	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	73	44	DI_AUTHION_RDC_CIRCULATION_VERS_PELA	73	14
DI_0001_0001_0074	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	74	44	DI_AUTHION_RDC_CIRCULATION_VERS_PELA	74	14
DI_0001_0001_0075	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_51	1	1	75	51	DM_AUTHION_RDC_ACCES_AUTHION_PAR_LE_PELA	75	18
DI_0001_0001_0076	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_44	1	1	76	44	DI_PELA_RDC_HALL	76	14
DI_0001_0001_0077	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_5	1	1	77	5	DI_PELA_R_1_CIRCULATION_	77	93
DI_0001_0001_0078	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_5	1	1	78	5	DI_PELA_R_1_CIRCULATION_	78	93
DI_0001_0001_0079	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_5	1	1	79	5	DI_PELA_R_1_CIRCULATION_	79	93
DI_0001_0001_0080	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_11	1	1	80	11	DM_PELA_R_1_CIRCULATION_	80	94
DI_0001_0001_0081	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_3	1	1	81	3	DI_PELA_R_2_CIRCULATION_	81	95
DI_0001_0001_0082	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_3	1	1	82	3	DI_PELA_R_2_CIRCULATION_	82	95
DI_0001_0001_0083	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_100	1	1	83	100	CCF_PELA_R_3_CIRCULATION_	83	9
DI_0001_0001_0084	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_3	1	1	84	3	DI_PELA_R_2_CIRCULATION_	84	95
DI_0001_0001_0085	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_11	1	1	85	11	DM_PELA_R_2_CIRCULATION_	85	94
DI_0001_0001_0086	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_1	1	1	86	1	DI_PELA_R_3_CIRCULATION_	86	96
DI_0001_0001_0087	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_2	1	1	87	2	DI_PELA_R_3_LOCAL_MENAGE_	87	97
DI_0001_0001_0088	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_1	1	1	88	1	DI_PELA_R_3_CIRCULATION_	88	96
DI_0001_0001_0089	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_1	1	1	89	1	DI_PELA_R_3_CIRCULATION_	89	96
DI_0001_0001_0090	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_11	1	1	90	11	DM_PELA_R_3_CIRCULATION_	90	94
DI_0001_0001_0091	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_94	1	1	91	94	DM_PELA_R_1_CIRCUL_ACCES_MACH_ASC	91	2
DI_0001_0001_0092	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	92	93	DI_PELA_R_1_DEPOT_5	92	3
DI_0001_0001_0093	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	93	93	DI_PELA_R_1_DEPOT_5	93	3
DI_0001_0001_0094	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	94	93	DI_PELA_R_1_LOCAL_TECHNIQUE_MACH_ASC_	94	3
DI_0001_0001_0095	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	95	93	DI_PELA_R_1_DEPOT_6	95	3
DI_0001_0001_0096	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	96	93	DI_PELA_R_1_LOCAL_SATESE	96	3
DI_0001_0001_0097	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_91	1	1	97	91	DI_PELA_R_1_PARKING_8	97	24
DI_0001_0001_0098	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_91	1	1	98	91	DI_PELA_R_1_PARKING_5	98	24
DI_0001_0001_0099	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	99	93	DI_PELA_R_1_SOUS_STATION	99	3
DI_0001_0001_0100	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_93	1	1	100	93	DI_PELA_R_1_LOCAL_2_ROUES__PAR_GAL_TECH_	100	3
DI_0001_0001_0101	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_94	1	1	101	94	DM_PELA_R_1_LOC_2_ROUES__PAR_NOYAU_CENT_	101	2
DI_0001_0001_0102	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_48	1	1	102	48	DI_AUTHION_RDC_VTP_SSI_HALL_ACCUEIL	102	15
DI_0001_0001_0103	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_100	1	1	103	100	CCF_PELA_RDC_HALL	103	9
DI_0001_0001_0104	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_48	1	1	104	48	DI__AUTHION_RDC_POSTE_DE_POLICE	104	15
DI_0001_0001_0106	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_201	1	1	106	201	CCF_AUTHION_RDC_CIRCULATION_OUEST	106	127
DI_0001_0001_0107	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_100	1	1	107	100	CCF_R_2_PELA_CIRCULATION_	107	9
DI_0001_0001_0108	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_10	1	1	108	10	PELA_RDC_LOCAL_TECHNIQUE_VDI	108	5
DI_0001_0001_0109	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_100	1	1	109	100	CCF_R_1_PELA_CIRCULATION_	109	9
DI_0001_0001_0110	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_4	1	1	110	4	DI_PELA_2EME_Bureau_203	110	124
