Finsecur/DI_Batlic	Parametres	V/Zone	V/ModBusAdresse	V/Libelle	V/Adresse	V/ZoneNom
DI_ZD_0002_A0001	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_2	2	1	SORTIE_DE_SECOURS_NORD	001	ZD2 NIVEAU RDC DM
DI_ZD_0002_A0002	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_2	2	1	SORTIE_DE_SECOURS_EST_ZONE_C	002	ZD2 NIVEAU RDC DM
DI_ZD_0002_A0003	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_2	2	1	SORTIE_DE_SECOURS_SUD_ZONE_B	003	ZD2 NIVEAU RDC DM
DI_ZD_0002_A0004	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_2	2	1	LOCAL_TGBT	004	ZD2 NIVEAU RDC DM
DI_ZD_0002_A0005	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_2	2	1	SORTIE_DE_SECOURS_OUEST_ZONE_A	005	ZD2 NIVEAU RDC DM
DI_ZD_0004_A0006	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_4	4	1	NOYAU_CENTRAL	006	ZD4 1er INTERMEDIAIRE DM
DI_ZD_0005_A0007	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_5	5	1	BULLE_C	007	ZD5 NIVEAU N+1 DM
DI_ZD_0004_A0008	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_4	4	1	BULLE_C	008	ZD4 1er INTERMEDIAIRE DM
DI_ZD_0005_A0009	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_5	5	1	BULLE_B	009	ZD5 NIVEAU N+1 DM
DI_ZD_0004_A0010	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_4	4	1	BULLE_B	010	ZD4 1er INTERMEDIAIRE DM
DI_ZD_0005_A0011	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_5	5	1	BULLE_A	011	ZD5 NIVEAU N+1 DM
DI_ZD_0004_A0012	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_4	4	1	BULLE_A	012	ZD4 1er INTERMEDIAIRE DM
DI_ZD_0005_A0013	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_5	5	1	NOYAU_CENTRAL	013	ZD5 NIVEAU N+1 DM
DI_ZD_0006_A0014	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_6	6	1	BULLE_C	014	ZD6 NIVEAU N+2 DM
DI_ZD_0006_A0015	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_6	6	1	BULLE_B	015	ZD6 NIVEAU N+2 DM
DI_ZD_0006_A0016	/Finsecur/DI/SDI_AUDIBERGUE_FINSECUR/Zone_6	6	1	BULLE_A	016	ZD6 NIVEAU N+2 DM
