Siemens/DI	Parametres	V/Zone	V/Adresse	V/libelle	V/parentlibelle	V/modbusadresse
DI_ZD_11_A495	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_11	11	9	_DM_ENTREE_HALL_CENTRAL	_DM_NIVEAU_RDC_ZDM_11	495
DI_ZD_6_A461	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	35	_CRECHE_LOCAL_MENAGE	_CRECHE_ZDA_6_	461
DI_ZD_6_A443	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	8	_CRECHE_ENTREE_GRANDS_JEUX	_CRECHE_ZDA_6_	443
DI_ZD_6_A438	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	3	_CRECHE_JEUX_BEBE	_CRECHE_ZDA_6_	438
DI_ZD_6_A437	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	2	_CRECHE_DORTOIR_BEBE	_CRECHE_ZDA_6_	437
DI_ZD_6_A436	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	1	_CRECHE_REPAS_BEBE	_CRECHE_ZDA_6_	436
DI_ZD_6_A453	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	26	_CRECHE_CUISINE_LAVERIE_PLONGE	_CRECHE_ZDA_6_	453
DI_ZD_6_A442	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	7	_CRECHE_DORTOIR_GRANDS__JEUX_2	_CRECHE_ZDA_6_	442
DI_ZD_6_A441	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	6	_CRECHE_DORTOIR_GRANDS_JEUX1	_CRECHE_ZDA_6_	441
DI_ZD_6_A440	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	5	_CRECHE_REPAS_GRANDS_JEUX	_CRECHE_ZDA_6_	440
