DEF/DAS	Parameters	V/Module	V/AdressePhysique	V/AdresseLogique	V/Libelle
DAS_0000_0001	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	1	8	LDS_ZA3_FER_1_001_1_A_1_001_21
DAS_0000_0002	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	2	9	EXU_ZF8_FER_CIRC__1_002_1
DAS_0000_0003	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	3	10	EXU_ZF8_FER_CIRC__1_003_1
DAS_0000_0004	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	4	11	DEV_IS_ZA_3_FERION_RDC_
DAS_0000_0005	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	5	12	PCF_ZC3_FER_1_005_1_A_1_005_14
DAS_0000_0006	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	6	13	EXU_ZF9_FER_REUNION_1_006_1
DAS_0000_0007	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	7	14	DEV_IS_ZA3_FERION
DAS_0000_0008	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	8	15	ED4L_5_L4_VOIE_LIBRE
DAS_0000_0009	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	9	16	LDS_ZA1_PARKING_1_009_1_A_1_009_3
DAS_0000_0010	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	10	17	COUPURE_VANNES_GAZ_CHAUFFERIE
DAS_0000_0011	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	11	18	ED4L_9_L3_VOIE_LIBRE
DAS_0000_0012	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	12	19	ED4L_9_L4_VOIE_LIBRE
DAS_0000_0013	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	13	20	LDS_ZA1_PARKING_1_013_1_A_1_013_11
DAS_0000_0014	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	14	21	PCF_ZC1_PARKING_1_014_1_ET_1_014_2
DAS_0000_0015	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	15	22	LDS_ZA1_PARKING_1_015_1_A_1_015_7
DAS_0000_0016	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	16	23	DEV_IS_ZA_4_PELA_SSOL
DAS_0000_0017	/DEF/DAS/G_CADAM_CMSI_BLOC_EST	0	17	24	LDS_ZA4_PELA_1_017_1_A_1_017_8
