Esser/DI	Parameters	V/Numero	V/Libelle	V/Numero_Zone
DI_ZD1_A1	/Esser/DI/S5/Zone_1	1	2_3_1D1102	1
DI_ZD1_A2	/Esser/DI/S5/Zone_1	2	2_20_1D1202	1
DI_ZD1_A3	/Esser/DI/S5/Zone_1	3	2_14_1D1202	1
DI_ZD1_A4	/Esser/DI/S5/Zone_1	4	2_5_1D1201	1
DI_ZD1_A5	/Esser/DI/S5/Zone_1	5	2_7_1E1201	1
DI_ZD1_A6	/Esser/DI/S5/Zone_1	6	2_10_1E1301	1
DI_ZD1_A7	/Esser/DI/S5/Zone_1	7	2_12_1E1302	1
DI_ZD1_A8	/Esser/DI/S5/Zone_1	8	2_15_1E1302	1
DI_ZD1_A9	/Esser/DI/S5/Zone_1	9	2_16_1E1401	1
DI_ZD1_A10	/Esser/DI/S5/Zone_1	10	2_21_1E1501	1
DI_ZD2_A1	/Esser/DI/S5/Zone_2	1	2_6_1E1201	2
DI_ZD2_A2	/Esser/DI/S5/Zone_2	2	2_9_1E1301	2
DI_ZD2_A3	/Esser/DI/S5/Zone_2	3	2_11_1E1302	2
DI_ZD3_A1	/Esser/DI/S5/Zone_3	1	2_38_1D1202	3
DI_ZD3_A2	/Esser/DI/S5/Zone_3	2	2_33_1D1202	3
DI_ZD3_A3	/Esser/DI/S5/Zone_3	3	2_34_1E1701	3
DI_ZD3_A4	/Esser/DI/S5/Zone_3	4	2_35_1E1702	3
DI_ZD3_A5	/Esser/DI/S5/Zone_3	5	2_36_1E1801	3
DI_ZD3_A6	/Esser/DI/S5/Zone_3	6	2_42_1E1901	3
DI_ZD3_A7	/Esser/DI/S5/Zone_3	7	2_44_1E1902	3
DI_ZD3_A8	/Esser/DI/S5/Zone_3	8	2_46_1E2101	3
DI_ZD3_A9	/Esser/DI/S5/Zone_3	9	2_48_1E2001	3
DI_ZD3_A10	/Esser/DI/S5/Zone_3	10	2_50_1E2102	3
DI_ZD3_A11	/Esser/DI/S5/Zone_3	11	2_51_1E2103	3
DI_ZD3_A12	/Esser/DI/S5/Zone_3	12	2_52_1C2301	3
DI_ZD3_A13	/Esser/DI/S5/Zone_3	13	2_54_1C2301	3
DI_ZD3_A14	/Esser/DI/S5/Zone_3	14	2_55_1C2301	3
DI_ZD3_A15	/Esser/DI/S5/Zone_3	15	2_62_1A2301	3
DI_ZD3_A16	/Esser/DI/S5/Zone_3	16	2_57_1B2301	3
DI_ZD4_A1	/Esser/DI/S5/Zone_4	1	2_41_1E1801	4
DI_ZD4_A2	/Esser/DI/S5/Zone_4	2	2_43_1E1902	4
DI_ZD4_A3	/Esser/DI/S5/Zone_4	3	2_63_1A2301	4
DI_ZD4_A4	/Esser/DI/S5/Zone_4	4	2_87_1E2101	4
DI_ZD4_A5	/Esser/DI/S5/Zone_4	5	2_88_1C2301	4
DI_ZD5_A1	/Esser/DI/S5/Zone_5	1	2_19_PLENUM_1D1202	5
DI_ZD5_A2	/Esser/DI/S5/Zone_5	2	2_13_PLENUM_1D1202	5
DI_ZD5_A3	/Esser/DI/S5/Zone_5	3	2_8_PLENUM_1D1202	5
DI_ZD5_A4	/Esser/DI/S5/Zone_5	4	2_17_PLENUM_1E1401	5
DI_ZD6_A1	/Esser/DI/S5/Zone_6	1	2_47_PLENUM_1D1202	6
DI_ZD6_A2	/Esser/DI/S5/Zone_6	2	2_39_PLENUM_1D1202	6
DI_ZD6_A3	/Esser/DI/S5/Zone_6	3	2_32_PLENUM_1D1202	6
DI_ZD6_A4	/Esser/DI/S5/Zone_6	4	2_63_PLENUM_1E1701	6
