Esser/FONCTION	Parameters	V/Numero	V/Type_detaille	V/Libelle
FONCTION_4	/Esser/FONCTION/AIR_FRANCE_CARGO	4	Arr�t Technique 4	_ARRET CTA 2
FONCTION_5	/Esser/FONCTION/AIR_FRANCE_CARGO	5	Arr�t Technique 5	_ARRET CTA 3
FONCTION_7	/Esser/FONCTION/AIR_FRANCE_CARGO	7	Arr�t Technique 7	_ARRET CTA 3805
FONCTION_9	/Esser/FONCTION/AIR_FRANCE_CARGO	9	Compartimentage 9	COMPARTIMENTAGE 3800
FONCTION_16	/Esser/FONCTION/AIR_FRANCE_CARGO	16	Compartimentage 16	_CMP 3812 3850
FONCTION_17	/Esser/FONCTION/AIR_FRANCE_CARGO	17	Desenfumage 17	_DESENFUMAGE BATWW HANG1
FONCTION_42	/Esser/FONCTION/AIR_FRANCE_CARGO	42	Arr�t Technique 42	_ARRET TECHNIQUE BAT WW
FONCTION_18	/Esser/FONCTION/AIR_FRANCE_CARGO	18	Desenfumage 18	_DESENFUMAGE BATWW HANG2
FONCTION_19	/Esser/FONCTION/AIR_FRANCE_CARGO	19	Desenfumage 19	_DESENFUMAGE BATWW HANG3
FONCTION_6	/Esser/FONCTION/AIR_FRANCE_CARGO	6	Evacuation 6	_3805
FONCTION_15	/Esser/FONCTION/AIR_FRANCE_CARGO	15	Evacuation 15	_3802
FONCTION_8	/Esser/FONCTION/AIR_FRANCE_CARGO	8	Evacuation 8	_EVAC BAT 3800
FONCTION_22	/Esser/FONCTION/AIR_FRANCE_CARGO	22	Issue de Secours 22	_DEVEOUILLAGE ISS 3800
FONCTION_10	/Esser/FONCTION/AIR_FRANCE_CARGO	10	Evacuation 10	_BOP 3812 3850
FONCTION_31	/Esser/FONCTION/AIR_FRANCE_CARGO	31	Issue de Secours 31	_DEVEROUILLAGE ISS 3850
FONCTION_11	/Esser/FONCTION/AIR_FRANCE_CARGO	11	Evacuation 11	_BAT 3809
FONCTION_12	/Esser/FONCTION/AIR_FRANCE_CARGO	12	Evacuation 12	_LOCAL SOURCE
FONCTION_14	/Esser/FONCTION/AIR_FRANCE_CARGO	14	Evacuation 14	_EVACUATION GENERALE BAT WW
FONCTION_43	/Esser/FONCTION/AIR_FRANCE_CARGO	43	Issue de Secours 43	_DEVERROUILLAGE BAT WW
FONCTION_25	/Esser/FONCTION/AIR_FRANCE_CARGO	25	Evacuation 25	EVACUATION BAT 3801 DOCK
FONCTION_27	/Esser/FONCTION/AIR_FRANCE_CARGO	27	Evacuation 27	EVACUATION 3800 BAT MD
FONCTION_28	/Esser/FONCTION/AIR_FRANCE_CARGO	28	Issue de Secours 28	
FONCTION_13	/Esser/FONCTION/AIR_FRANCE_CARGO	13	Compartimentage 13	_PCF DAS COMM 3800 3812
FONCTION_20	/Esser/FONCTION/AIR_FRANCE_CARGO	20	Desenfumage 20	_DESENFUMAGE BATWW HANG4
FONCTION_21	/Esser/FONCTION/AIR_FRANCE_CARGO	21	Arr�t Technique 21	ARRET CTA 3800 RRY
FONCTION_23	/Esser/FONCTION/AIR_FRANCE_CARGO	23	Arr�t Technique 23	ARRET CTA FUMEUR DD
FONCTION_24	/Esser/FONCTION/AIR_FRANCE_CARGO	24	Compartimentage 24	CCF REPLI FUMEUR D.D
FONCTION_26	/Esser/FONCTION/AIR_FRANCE_CARGO	26	Desenfumage 26	BAT 3800 DESENFUMAGE LOCAL MD
FONCTION_30	/Esser/FONCTION/AIR_FRANCE_CARGO	30	Compartimentage 30	3800 BAT MD CCF
FONCTION_1	/Esser/FONCTION/AIR_FRANCE_CARGO	1	Evacuation 1	_POSTE DE CONTROLE
FONCTION_41	/Esser/FONCTION/AIR_FRANCE_CARGO	41	Issue de Secours 41	_ISS PCE
FONCTION_2	/Esser/FONCTION/AIR_FRANCE_CARGO	2	Evacuation 2	_LOCAL ROUTIER
FONCTION_3	/Esser/FONCTION/AIR_FRANCE_CARGO	3	Evacuation 3	_RESTAURANT
FONCTION_29	/Esser/FONCTION/AIR_FRANCE_CARGO	29	Arr�t Technique 29	ALARME FEU ARMOIRE CVC
Esser/FONCTION_UGA	Parameters	V/Numero	V/Type_detaille	V/Libelle
FONCTION_UGA_6	/Esser/FONCTION_UGA/AIR_FRANCE_CARGO	6	UGA 6	_BAT 3800
FONCTION_UGA_12	/Esser/FONCTION_UGA/AIR_FRANCE_CARGO	12	UGA 12	BAT 3800 MD
FONCTION_UGA_1	/Esser/FONCTION_UGA/AIR_FRANCE_CARGO	1	UGA 1	_POSTE CONTROLE
FONCTION_UGA_8	/Esser/FONCTION_UGA/AIR_FRANCE_CARGO	8	UGA 8	_BAT 3809
FONCTION_UGA_9	/Esser/FONCTION_UGA/AIR_FRANCE_CARGO	9	UGA 9	_LOCAL SOURCE
FONCTION_UGA_11	/Esser/FONCTION_UGA/AIR_FRANCE_CARGO	11	UGA 11	BAT 3801
FONCTION_UGA_10	/Esser/FONCTION_UGA/AIR_FRANCE_CARGO	10	UGA 10	_BAT WW
FONCTION_UGA_2	/Esser/FONCTION_UGA/AIR_FRANCE_CARGO	2	UGA 2	_LOCAL ROUTIER
FONCTION_UGA_3	/Esser/FONCTION_UGA/AIR_FRANCE_CARGO	3	UGA 3	_RESTAURANT
FONCTION_UGA_4	/Esser/FONCTION_UGA/AIR_FRANCE_CARGO	4	UGA 4	_3805
FONCTION_UGA_5	/Esser/FONCTION_UGA/AIR_FRANCE_CARGO	5	UGA 5	_3802
FONCTION_UGA_7	/Esser/FONCTION_UGA/AIR_FRANCE_CARGO	7	UGA 7	_BOP 3812 3850
