PROTOCOLO=91-EDP										
VERSION=MBS.1.0										
CAMPOS=11										
#	Type de données	Panel	Zona/Ctrl/Loop	Détecteur	EDP type	Panel Signal	Description	AddMB	E/S	Actif
1	1-Erreur de communication						Communication Error Panel	1	0-Ent	1-Oui
2	2-Global Alarm						Global Alarm Panel	2	0-Ent	1-Oui
3	0-Data	1			1-P	0-Power Supply Fault	AIR FRANCE ROISSY BAT 4203	3	0-Ent	1-Oui
4	0-Data	1			1-P	1-Battery Fault	AIR FRANCE ROISSY BAT 4203	4	0-Ent	1-Oui
5	0-Data	1			1-P	2-CPU Fault	AIR FRANCE ROISSY BAT 4203	5	0-Ent	1-Oui
6	0-Data	1			1-P	3-Network Fault	AIR FRANCE ROISSY BAT 4203	6	0-Ent	1-Oui
7	0-Data	1			1-P	4-Acoustic Fault	AIR FRANCE ROISSY BAT 4203	7	0-Ent	1-Oui
8	0-Data	1			1-P	5-Keyboard Unlocked	AIR FRANCE ROISSY BAT 4203	8	0-Ent	1-Oui
9	0-Data	1			1-P	6-Buzzer Silence	AIR FRANCE ROISSY BAT 4203	9	1-Sor	1-Oui
10	0-Data	1			1-P	7-Sound On	AIR FRANCE ROISSY BAT 4203	10	1-Sor	1-Oui
11	0-Data	1			1-P	8-Sound Silence	AIR FRANCE ROISSY BAT 4203	11	2-E/S	1-Oui
12	0-Data	1			1-P	9-Panel Reset	AIR FRANCE ROISSY BAT 4203	12	2-E/S	1-Oui
13	0-Data	1	113		2-L			13	2-E/S	1-Oui
14	0-Data	1	121		2-L		4203 RDC	14	2-E/S	1-Oui
15	0-Data	1	122		2-L		4203 1er ETAGE	15	2-E/S	1-Oui
16	0-Data	1	123		2-L		4203 OI AET	16	2-E/S	1-Oui
17	0-Data	1	131		2-L		4203 1er ATEC	17	2-E/S	1-Oui
18	0-Data	1	132		2-L			18	2-E/S	1-Oui
19	0-Data	1	1		4-Z		4203 1er ILOT EV 40/43	19	2-E/S	1-Oui
20	0-Data	1	1	15	5-D		4203 1er SORBONNE N.O 116	20	2-E/S	1-Oui
21	0-Data	1	1	1	5-D		4203 1er B.LOGIS S/O P113	21	2-E/S	1-Oui
22	0-Data	1	1	11	5-D		4203 1er B.LOGIS S/O P113	22	2-E/S	1-Oui
23	0-Data	1	1	2	5-D		4203 1er ILOT EV 40 P115	23	2-E/S	1-Oui
24	0-Data	1	1	3	5-D		4203 1er B.RESPO. S/O 114	24	2-E/S	1-Oui
25	0-Data	1	1	12	5-D		4203 1er B.RESPO. S/O 114	25	2-E/S	1-Oui
26	0-Data	1	1	16	5-D		4203 1er ILOT EV 40 P115	26	2-E/S	1-Oui
27	0-Data	1	1	17	5-D		4203 1er ILOT EV 40 P115	27	2-E/S	1-Oui
28	0-Data	1	1	19	5-D		4203 1er ILOT EV 40 P115	28	2-E/S	1-Oui
29	0-Data	1	1	18	5-D		4203 1er ILOT EV 40 P115	29	2-E/S	1-Oui
30	0-Data	1	1	20	5-D		4203 1er ILOT EV 40 P115	30	2-E/S	1-Oui
31	0-Data	1	1	21	5-D		4203 1er ILOT EV 40 P115	31	2-E/S	1-Oui
32	0-Data	1	1	22	5-D		4203 1er ILOT EV 40 P115	32	2-E/S	1-Oui
33	0-Data	1	1	23	5-D		4203 1er ILOT EV 40 P115	33	2-E/S	1-Oui
34	0-Data	1	1	4	5-D		4203 1er ILOT EV 40 P115	34	2-E/S	1-Oui
35	0-Data	1	1	5	5-D		4203 1er ILOT EV 40 P115	35	2-E/S	1-Oui
36	0-Data	1	1	6	5-D		4203 1er ILOT EV 40 P115	36	2-E/S	1-Oui
37	0-Data	1	1	7	5-D		4203 1er ILOT EV 40 P115	37	2-E/S	1-Oui
38	0-Data	1	1	8	5-D		4203 1er ILOT EV 40 P115	38	2-E/S	1-Oui
39	0-Data	1	1	9	5-D		4203 1er ILOT EV 40 P115	39	2-E/S	1-Oui
40	0-Data	1	1	24	5-D		4203 1er ILOT EV 40 P115	40	2-E/S	1-Oui
41	0-Data	1	1	25	5-D		4203 1er ILOT EV 40 P115	41	2-E/S	1-Oui
42	0-Data	1	1	26	5-D		4203 1er ILOT EV 40 P115	42	2-E/S	1-Oui
43	0-Data	1	1	27	5-D		4203 1er ILOT EV 40 P115	43	2-E/S	1-Oui
44	0-Data	1	1	28	5-D		4203 1er ILOT EV 40 P115	44	2-E/S	1-Oui
45	0-Data	1	1	29	5-D		4203 1er ILOT EV 40 P115	45	2-E/S	1-Oui
46	0-Data	1	1	30	5-D		4203 1er ILOT EV 40 P115	46	2-E/S	1-Oui
47	0-Data	1	1	31	5-D		4203 1er ILOT EV 40 P115	47	2-E/S	1-Oui
48	0-Data	1	1	32	5-D		4203 1er B.TECHNIQUE P118	48	2-E/S	1-Oui
49	0-Data	1	1	10	5-D		4203 1er B.TECHNIQUE P118	49	2-E/S	1-Oui
50	0-Data	1	1	14	5-D		4203 1er SOUDURE NORD 117	50	2-E/S	1-Oui
51	0-Data	1	2		4-Z		4203 1er SALLE ATEC P112	51	2-E/S	1-Oui
52	0-Data	1	2	6	5-D		4203 1er SALLE ATEC P112	52	2-E/S	1-Oui
53	0-Data	1	2	5	5-D		4203 1er SALLE ATEC P112	53	2-E/S	1-Oui
54	0-Data	1	2	4	5-D		4203 1er SALLE ATEC P112	54	2-E/S	1-Oui
55	0-Data	1	2	3	5-D		4203 1er SALLE ATEC P112	55	2-E/S	1-Oui
56	0-Data	1	2	2	5-D		4203 1er SALLE ATEC P112	56	2-E/S	1-Oui
57	0-Data	1	2	1	5-D		4203 1er SALLE ATEC P112	57	2-E/S	1-Oui
58	0-Data	1	3		4-Z		4203 1er ILOT CDV NOR 108	58	2-E/S	1-Oui
59	0-Data	1	3	5	5-D		4203 1er SORBONE N. E 107	59	2-E/S	1-Oui
60	0-Data	1	3	16	5-D		4203 1er ILO CDV NORD 108	60	2-E/S	1-Oui
61	0-Data	1	3	17	5-D		4203 1er ILO CDV NORD 108	61	2-E/S	1-Oui
62	0-Data	1	3	18	5-D		4203 1er ILO CDV NORD 108	62	2-E/S	1-Oui
63	0-Data	1	3	19	5-D		4203 1er ILO CDV NORD 108	63	2-E/S	1-Oui
64	0-Data	1	3	20	5-D		4203 1er ILO CDV NORD 108	64	2-E/S	1-Oui
65	0-Data	1	3	21	5-D		4203 1er ILO CDV NORD 108	65	2-E/S	1-Oui
66	0-Data	1	3	6	5-D		4203 1er ILO CDV NORD 108	66	2-E/S	1-Oui
67	0-Data	1	3	7	5-D		4203 1er ILO CDV NORD 108	67	2-E/S	1-Oui
68	0-Data	1	3	8	5-D		4203 1er ILO CDV NORD 108	68	2-E/S	1-Oui
69	0-Data	1	3	22	5-D		4203 1er ILO CDV NORD 108	69	2-E/S	1-Oui
70	0-Data	1	3	10	5-D		4203 1er BUR.LOG S/E P109	70	2-E/S	1-Oui
71	0-Data	1	3	2	5-D		4203 1er ILO CDV NORD 108	71	2-E/S	1-Oui
72	0-Data	1	3	23	5-D		4203 1er ILO CDV NORD 108	72	2-E/S	1-Oui
73	0-Data	1	3	24	5-D		4203 1er ILO CDV NORD 108	73	2-E/S	1-Oui
74	0-Data	1	3	25	5-D		4203 1er ILO CDV NORD 108	74	2-E/S	1-Oui
75	0-Data	1	3	26	5-D		4203 1er ILO CDV NORD 108	75	2-E/S	1-Oui
76	0-Data	1	3	27	5-D		4203 1er ILO CDV NORD 108	76	2-E/S	1-Oui
77	0-Data	1	3	28	5-D		4203 1er ILO CDV NORD 108	77	2-E/S	1-Oui
78	0-Data	1	3	29	5-D		4203 1er ILO CDV NORD 108	78	2-E/S	1-Oui
79	0-Data	1	3	30	5-D		4203 1er ILO CDV NORD 108	79	2-E/S	1-Oui
80	0-Data	1	3	31	5-D		4203 1er ILO CDV NORD 108	80	2-E/S	1-Oui
81	0-Data	1	3	32	5-D		4203 1er BUREAU TECH P110	81	2-E/S	1-Oui
82	0-Data	1	3	9	5-D		4203 1er BUREAU TECH P110	82	2-E/S	1-Oui
83	0-Data	1	3	15	5-D		4203 1er ILO CDV NORD 108	83	2-E/S	1-Oui
84	0-Data	1	3	14	5-D		4203 1er ILO CDV NORD 108	84	2-E/S	1-Oui
85	0-Data	1	3	13	5-D		4203 1er RESPONSA.S.E 111	85	2-E/S	1-Oui
86	0-Data	1	3	1	5-D		4203 1er RESPONSA.S.E 111	86	2-E/S	1-Oui
87	0-Data	1	3	12	5-D		4203 1er ILO CDV NORD 108	87	2-E/S	1-Oui
88	0-Data	1	3	11	5-D		4203 1er BUR.LOG S/E P109	88	2-E/S	1-Oui
89	0-Data	1	4		4-Z		4203 1er CIRCULATION NORD	89	2-E/S	1-Oui
90	0-Data	1	4	6	5-D		4203 1er LOCAL INFO P122	90	2-E/S	1-Oui
91	0-Data	1	4	3	5-D		4203 1er CIRCULATION NORD	91	2-E/S	1-Oui
92	0-Data	1	4	9	5-D		4203 1er CDD NORD P102	92	2-E/S	1-Oui
93	0-Data	1	4	7	5-D		4203 1er CDD NORD P102	93	2-E/S	1-Oui
94	0-Data	1	4	2	5-D		4203 1er CIRCULATION NORD	94	2-E/S	1-Oui
95	0-Data	1	4	13	5-D		4203 1erARMOIRE ELECRIQUE	95	2-E/S	1-Oui
96	0-Data	1	4	10	5-D		4203 1er SALLE REPOS P105	96	2-E/S	1-Oui
97	0-Data	1	4	11	5-D		4203 1er SALLE REPOS P105	97	2-E/S	1-Oui
98	0-Data	1	4	12	5-D		4203 1er SALLE CMS NORD	98	2-E/S	1-Oui
99	0-Data	1	4	1	5-D		4203 1er CIRCULATION NORD	99	2-E/S	1-Oui
100	0-Data	1	4	5	5-D		4203 1er BUR.BT ATEC P121	100	2-E/S	1-Oui
101	0-Data	1	4	4	5-D		4203 1er CIRCULATION NORD	101	2-E/S	1-Oui
102	0-Data	1	4	8	5-D		4203 1er ESCALIER	102	2-E/S	1-Oui
103	0-Data	1	5		4-Z		4203 DERANGEMENT CMSI	103	2-E/S	1-Oui
104	0-Data	1	6		4-Z		4203 RDC BATTERIE	104	2-E/S	1-Oui
105	0-Data	1	6	1	5-D		4203 RDC B.BAT.LOGIST P11	105	2-E/S	1-Oui
106	0-Data	1	6	2	5-D		4203 RDC BAT STOCK NORD	106	2-E/S	1-Oui
107	0-Data	1	6	3	5-D		4203 RDC BAT STOCK NORD	107	2-E/S	1-Oui
108	0-Data	1	6	4	5-D		4203 RDC ZONE CHARGE NORD	108	2-E/S	1-Oui
109	0-Data	1	6	5	5-D		4203 RDC ZONE CHARGE NORD	109	2-E/S	1-Oui
110	0-Data	1	6	6	5-D		4203 RDC AT.BAT ADM P012	110	2-E/S	1-Oui
111	0-Data	1	6	7	5-D		4203 RDC AT.BAT ADM P011	111	2-E/S	1-Oui
112	0-Data	1	6	8	5-D		4203 RDC BAT RESP P010	112	2-E/S	1-Oui
113	0-Data	1	7		4-Z		4203 RDC BUREAUX	113	2-E/S	1-Oui
114	0-Data	1	7	1	5-D		4203 RDC RECEPTION	114	2-E/S	1-Oui
115	0-Data	1	7	2	5-D		4203 RDC LOCAL INFO P041	115	2-E/S	1-Oui
116	0-Data	1	7	27	5-D		4203 RDC MACHINE M.C P002	116	2-E/S	1-Oui
117	0-Data	1	7	28	5-D		4203 RDC VEST.HOMMES P003	117	2-E/S	1-Oui
118	0-Data	1	7	29	5-D		4203 RDC VEST.HOMMES P003	118	2-E/S	1-Oui
119	0-Data	1	7	30	5-D		4203 RDC VEST.HOMMES P003	119	2-E/S	1-Oui
