Esser/DI	Parameters	V/Numero	V/Panel	V/ZoneNum	V/Description	V/adress_MB
DI_ZD1_A15	/Esser/DI/EDP/Zone_1	15	1	1	4203 1er SORBONNE N.O 116	20
DI_ZD1_A1	/Esser/DI/EDP/Zone_1	1	1	1	4203 1er B.LOGIS S/O P113	21
DI_ZD1_A11	/Esser/DI/EDP/Zone_1	11	1	1	4203 1er B.LOGIS S/O P113	22
DI_ZD1_A2	/Esser/DI/EDP/Zone_1	2	1	1	4203 1er ILOT EV 40 P115	23
DI_ZD1_A3	/Esser/DI/EDP/Zone_1	3	1	1	4203 1er B.RESPO. S/O 114	24
DI_ZD1_A12	/Esser/DI/EDP/Zone_1	12	1	1	4203 1er B.RESPO. S/O 114	25
DI_ZD1_A16	/Esser/DI/EDP/Zone_1	16	1	1	4203 1er ILOT EV 40 P115	26
DI_ZD1_A17	/Esser/DI/EDP/Zone_1	17	1	1	4203 1er ILOT EV 40 P115	27
DI_ZD1_A19	/Esser/DI/EDP/Zone_1	19	1	1	4203 1er ILOT EV 40 P115	28
DI_ZD1_A18	/Esser/DI/EDP/Zone_1	18	1	1	4203 1er ILOT EV 40 P115	29
DI_ZD1_A20	/Esser/DI/EDP/Zone_1	20	1	1	4203 1er ILOT EV 40 P115	30
DI_ZD1_A21	/Esser/DI/EDP/Zone_1	21	1	1	4203 1er ILOT EV 40 P115	31
DI_ZD1_A22	/Esser/DI/EDP/Zone_1	22	1	1	4203 1er ILOT EV 40 P115	32
DI_ZD1_A23	/Esser/DI/EDP/Zone_1	23	1	1	4203 1er ILOT EV 40 P115	33
DI_ZD1_A4	/Esser/DI/EDP/Zone_1	4	1	1	4203 1er ILOT EV 40 P115	34
DI_ZD1_A5	/Esser/DI/EDP/Zone_1	5	1	1	4203 1er ILOT EV 40 P115	35
DI_ZD1_A6	/Esser/DI/EDP/Zone_1	6	1	1	4203 1er ILOT EV 40 P115	36
DI_ZD1_A7	/Esser/DI/EDP/Zone_1	7	1	1	4203 1er ILOT EV 40 P115	37
DI_ZD1_A8	/Esser/DI/EDP/Zone_1	8	1	1	4203 1er ILOT EV 40 P115	38
DI_ZD1_A9	/Esser/DI/EDP/Zone_1	9	1	1	4203 1er ILOT EV 40 P115	39
DI_ZD1_A24	/Esser/DI/EDP/Zone_1	24	1	1	4203 1er ILOT EV 40 P115	40
DI_ZD1_A25	/Esser/DI/EDP/Zone_1	25	1	1	4203 1er ILOT EV 40 P115	41
DI_ZD1_A26	/Esser/DI/EDP/Zone_1	26	1	1	4203 1er ILOT EV 40 P115	42
DI_ZD1_A27	/Esser/DI/EDP/Zone_1	27	1	1	4203 1er ILOT EV 40 P115	43
DI_ZD1_A28	/Esser/DI/EDP/Zone_1	28	1	1	4203 1er ILOT EV 40 P115	44
DI_ZD1_A29	/Esser/DI/EDP/Zone_1	29	1	1	4203 1er ILOT EV 40 P115	45
DI_ZD1_A30	/Esser/DI/EDP/Zone_1	30	1	1	4203 1er ILOT EV 40 P115	46
