UAE/Zone	Parameters	V/Adresse	V/Libelle
Zone_1	/Esser/Zone/EDP	1	4203 1er ILOT EV 40/43
Zone_2	/Esser/Zone/EDP	2	4203 1er SALLE ATEC P112
Zone_3	/Esser/Zone/EDP	3	4203 1er ILOT CDV NOR 108
Zone_4	/Esser/Zone/EDP	4	4203 1er CIRCULATION NORD
Zone_5	/Esser/Zone/EDP	5	4203 DERANGEMENT CMSI
Zone_6	/Esser/Zone/EDP	6	4203 RDC BATTERIE
Zone_7	/Esser/Zone/EDP	7	4203 RDC BUREAUX
Zone_8	/Esser/Zone/EDP	8	4203 RDC BUREAUX
Zone_9	/Esser/Zone/EDP	9	4203 DM RDC EVAC BATIMENT
Zone_10	/Esser/Zone/EDP	10	4203 DM 1er EVAC BATIMEN
Zone_11	/Esser/Zone/EDP	11	4203 Oi DANS BAIE RDC
Zone_12	/Esser/Zone/EDP	12	4203 FAUX PLANCHER ATEC 1
Zone_13	/Esser/Zone/EDP	13	4203 FAUX PLANCHER ATEC 2
Zone_14	/Esser/Zone/EDP	14	4203 FAUX PLANCHER ATEC 3
Zone_15	/Esser/Zone/EDP	15	4203 FAUX PLANCHER ATEC 4
Zone_16	/Esser/Zone/EDP	16	4203 EVACUATION GENERAL
Zone_17	/Esser/Zone/EDP	17	4203 RDC EV44 DFHS 16
Zone_18	/Esser/Zone/EDP	18	4203 RDC DFHS 16 Alarme
Zone_19	/Esser/Zone/EDP	19	4203 RDC DFHS Info Alarme
Zone_20	/Esser/Zone/EDP	20	4203 RDC DFHS D�rangement
Zone_21	/Esser/Zone/EDP	21	4203 RDC DF Avertissement
Zone_22	/Esser/Zone/EDP	22	4203 RDC ATELIER BAT.SUD
Zone_24	/Esser/Zone/EDP	24	4203 CDE EVAC BUNGALOW
Zone_29	/Esser/Zone/EDP	29	4203 1er DEFAUT ALIM VESD
Zone_30	/Esser/Zone/EDP	30	4203 TEMPERATUR LOC ONDUL
Zone_31	/Esser/Zone/EDP	31	4203 LIBRE SUR OI 3000
Zone_32	/Esser/Zone/EDP	32	4203 RDC BUREAU
Zone_33	/Esser/Zone/EDP	33	4203 RDC BANC ITS EV44
Zone_34	/Esser/Zone/EDP	34	4203 RDC SALLE REUNION
Zone_36	/Esser/Zone/EDP	36	4203 RDC MAGASIN
Zone_37	/Esser/Zone/EDP	37	4203 1er SYSTEME ATEC 119
Zone_40	/Esser/Zone/EDP	40	4203 LIBRE SUR OI 3000
Zone_41	/Esser/Zone/EDP	41	4203 LIBRE SUR OI 3000
Zone_42	/Esser/Zone/EDP	42	4203 LIBRE SUR OI 3000
Zone_44	/Esser/Zone/EDP	44	Defaut PTI 4203
Zone_45	/Esser/Zone/EDP	45	4203 LIBRE SUR OI 3000
Zone_47	/Esser/Zone/EDP	47	4203 OI EVAC ES/AET
Zone_350	/Esser/Zone/EDP	350	OI SALLE  ATEC
Zone_351	/Esser/Zone/EDP	351	4203 1er ATEC DFHS 5
Zone_352	/Esser/Zone/EDP	352	DGT DFHS 5
Zone_353	/Esser/Zone/EDP	353	4203 1er ATEC  DFHS 6
Zone_354	/Esser/Zone/EDP	354	4203 LIBRE
Zone_355	/Esser/Zone/EDP	355	4203 1er ATEC  DFHS 7
Zone_356	/Esser/Zone/EDP	356	4203 1er  ATEC DFHS 15
Zone_357	/Esser/Zone/EDP	357	4203 ZONE 1 SALLE ATEC
Zone_358	/Esser/Zone/EDP	358	4203 ZONE 2 SALLE ATEC
Zone_359	/Esser/Zone/EDP	359	4203 1er ATEC  DFHS 3
Zone_360	/Esser/Zone/EDP	360	4203 LIBRE
Zone_361	/Esser/Zone/EDP	361	4203 1er ATEC DFHS 4
Zone_362	/Esser/Zone/EDP	362	4203 1er ATEC DFHS 17
Zone_363	/Esser/Zone/EDP	363	4203 1er ATEC DFHS 9
Zone_364	/Esser/Zone/EDP	364	4203 LIBRE
Zone_365	/Esser/Zone/EDP	365	4203 1er ATEC DFHS 8
Zone_366	/Esser/Zone/EDP	366	4203 LIBRE
Zone_367	/Esser/Zone/EDP	367	4203 1er ATEC DFHS 11
Zone_368	/Esser/Zone/EDP	368	4203 LIBRE
Zone_369	/Esser/Zone/EDP	369	4203 1er ATEC DFHS 12
Zone_370	/Esser/Zone/EDP	370	4203 LIBRE
Zone_371	/Esser/Zone/EDP	371	4203 1er ATEC DFHS 13
Zone_372	/Esser/Zone/EDP	372	4203 LIBRE
Zone_373	/Esser/Zone/EDP	373	4203 1er ATEC DFHS 14
Zone_374	/Esser/Zone/EDP	374	4203 LIBRE
Zone_375	/Esser/Zone/EDP	375	4203 1er ATEC DFHS 1
Zone_376	/Esser/Zone/EDP	376	4203 LIBRE
Zone_377	/Esser/Zone/EDP	377	4203 1er ATEC DFHS 2
Zone_378	/Esser/Zone/EDP	378	4203 LIBRE
Zone_379	/Esser/Zone/EDP	379	4203 1er ATEC DFHS 10
Zone_380	/Esser/Zone/EDP	380	4203 LIBRE
Zone_381	/Esser/Zone/EDP	381	4203 ZONE 3 SALLE ATEC
Zone_382	/Esser/Zone/EDP	382	4203 ZONE 4 SALLE ATEC
Zone_2301	/Esser/Zone/EDP	2301	4414 ZDM S/SOL
Zone_2302	/Esser/Zone/EDP	2302	4414ZDM RDC
Zone_2303	/Esser/Zone/EDP	2303	4414ZDM R+1
Zone_2304	/Esser/Zone/EDP	2304	4414- CELLULE TEST SUD
Zone_2305	/Esser/Zone/EDP	2305	4414- CELLULE TEST NORD
Zone_2306	/Esser/Zone/EDP	2306	4414LOCAL VDI (Z1 EXTINC)
Zone_2307	/Esser/Zone/EDP	2307	4414LOCAL VDI (Z2 EXTINC)
Zone_2308	/Esser/Zone/EDP	2308	4414LOCAUX TECHNIQUE RDC
Zone_2309	/Esser/Zone/EDP	2309	4414-DFHS COTE OUEST
Zone_2310	/Esser/Zone/EDP	2310	4414-DFHS COTE EST
Zone_2311	/Esser/Zone/EDP	2311	4414LOCAL INFO(Z1 EXTINC)
Zone_2312	/Esser/Zone/EDP	2312	4414LOCAL INFO(Z2 EXTINC)
Zone_2313	/Esser/Zone/EDP	2313	4414ZDA LOCAUX TECH R+1
Zone_2314	/Esser/Zone/EDP	2314	4414DERANG TRIPL IR Z2305
Zone_2315	/Esser/Zone/EDP	2315	4414DERANG TRIPL IR Z2304
Zone_2316	/Esser/Zone/EDP	2316	4414DM ZONE ATEX
Zone_2317	/Esser/Zone/EDP	2317	4414-ALARME SPRINKLER
Zone_2318	/Esser/Zone/EDP	2318	4414-DERANG SPRINKLER
Zone_2319	/Esser/Zone/EDP	2319	4414 CARTE RELAIS
Zone_2320	/Esser/Zone/EDP	2320	4414OI N�1 MEZZANINE
Zone_2321	/Esser/Zone/EDP	2321	4414OI N�2
Zone_2322	/Esser/Zone/EDP	2322	4414OI N�3 LOCAL VDI
Zone_2323	/Esser/Zone/EDP	2323	4414 OI N4 L.T PROD EXT
Zone_2324	/Esser/Zone/EDP	2324	4414 OI N5
Zone_2325	/Esser/Zone/EDP	2325	4414 OI N6
Zone_2326	/Esser/Zone/EDP	2326	4414 OI ZONE ATEX
Zone_2327	/Esser/Zone/EDP	2327	4414 OI LOCAL SPRINKLER
Zone_2328	/Esser/Zone/EDP	2328	4414 1er ETAGE TGBT
Zone_2329	/Esser/Zone/EDP	2329	4414 1er SALLE DE CONTROL
Zone_2330	/Esser/Zone/EDP	2330	4414 OI REPORT ALIM VESDA
Zone_2331	/Esser/Zone/EDP	2331	4414 DEF SECTEUR EAE DFHS
