Chubb/DAS	Parameters	V/LibelleDCT	V/LibelleFonction	V/AdresseDCT	V/NumSatellite	V/AdresseModBus	V/Octet
DAS_0001_0001	/Chubb/DAS/Chubb	ZA PO TER 18A	ZA PO 19/18 TER A	1	1	0	1
DAS_0001_0002	/Chubb/DAS/Chubb	ZA PO TER19/18B	ZA PO 19/18 TER B	2	1	0	2
DAS_0001_0003	/Chubb/DAS/Chubb	ZA PO R+14	ZA PO R+14	3	1	1	1
DAS_0001_0004	/Chubb/DAS/Chubb	ZA PO R+13	ZA PO R+13	4	1	1	2
DAS_0001_0005	/Chubb/DAS/Chubb	ZA PO R+12	ZA PO R+12	5	1	2	1
DAS_0001_0006	/Chubb/DAS/Chubb	ZA PO R+11	ZA PO R+11	6	1	2	2
DAS_0001_0007	/Chubb/DAS/Chubb	ZA PO R+10	ZA PO R+10	7	1	3	1
DAS_0001_0008	/Chubb/DAS/Chubb	ZA PO R+9	ZA PO R+9	8	1	3	2
DAS_0002_0009	/Chubb/DAS/Chubb	ZA PO R+8	ZA PO R+8	9	2	4	1
DAS_0002_0010	/Chubb/DAS/Chubb	ZA PO R+7	ZA PO R+7	10	2	4	2
DAS_0002_0011	/Chubb/DAS/Chubb	ZA PO R+6	ZA PO R+6	11	2	5	1
DAS_0002_0012	/Chubb/DAS/Chubb	ZA PO R+5	ZA PO R+5	12	2	5	2
DAS_0002_0013	/Chubb/DAS/Chubb	ZA PO R+4	ZA PO R+4	13	2	6	1
DAS_0002_0014	/Chubb/DAS/Chubb	ZA PO R+3	ZA PO R+3	14	2	6	2
DAS_0002_0015	/Chubb/DAS/Chubb	ZA PO R+2	ZA PO R+2	15	2	7	1
DAS_0002_0016	/Chubb/DAS/Chubb	ZA PO R+1	ZA PO R+1	16	2	7	2
DAS_0003_0017	/Chubb/DAS/Chubb	ZA PO EI2/EI3 A	ZA PO EI 2 / EI 3 A	17	3	8	1
DAS_0003_0018	/Chubb/DAS/Chubb	ZA PO EI2/EI3 B	ZA PO EI 2 / EI 3 B	18	3	8	2
DAS_0003_0019	/Chubb/DAS/Chubb	ZA PO EI 1A	ZA PO EI 1 A	19	3	9	1
DAS_0003_0020	/Chubb/DAS/Chubb	ZA PO EI 1B	ZA PO EI 1 B	20	3	9	2
DAS_0003_0021	/Chubb/DAS/Chubb	ZA PO RDC	ZA PO RDC	21	3	10	1
DAS_0003_0022	/Chubb/DAS/Chubb	ZA PO R-1	ZA PO R-1	22	3	10	2
